车站编号,日期,时刻,进站量,出站量,客流量（进出）,环境温度,能耗值,hour,datetime,dayofweek,is_weekend,能耗值_lag1,能耗值_lag2,能耗值_rolling3_mean,能耗值_rolling3_std
仁济站-环线,2024-07-23,9:00-10:00,232,174,406,31.5,193,9,2024-07-23 09:00:00,1,0,201.0,177.0,190.33333333333334,12.220201853215574
仁济站-环线,2024-07-23,10:00-11:00,141,184,325,32.9,186,10,2024-07-23 10:00:00,1,0,193.0,201.0,193.33333333333334,7.505553499465135
仁济站-环线,2024-07-23,11:00-12:00,123,133,256,35.6,188,11,2024-07-23 11:00:00,1,0,186.0,193.0,189.0,3.605551275463989
仁济站-环线,2024-07-23,12:00-13:00,123,111,234,37.7,182,12,2024-07-23 12:00:00,1,0,188.0,186.0,185.33333333333334,3.0550504633038935
仁济站-环线,2024-07-23,13:00-14:00,175,173,348,38.8,179,13,2024-07-23 13:00:00,1,0,182.0,188.0,183.0,4.58257569495584
仁济站-环线,2024-07-23,14:00-15:00,46,125,171,37.8,177,14,2024-07-23 14:00:00,1,0,179.0,182.0,179.33333333333334,2.5166114784235836
仁济站-环线,2024-07-23,15:00-16:00,136,155,291,38.6,176,15,2024-07-23 15:00:00,1,0,177.0,179.0,177.33333333333334,1.5275252316519465
仁济站-环线,2024-07-23,16:00-17:00,155,216,371,37.5,177,16,2024-07-23 16:00:00,1,0,176.0,177.0,176.66666666666666,0.5773502691896258
仁济站-环线,2024-07-23,17:00-18:00,176,288,464,37.1,192,17,2024-07-23 17:00:00,1,0,177.0,176.0,181.66666666666666,8.962886439832502
仁济站-环线,2024-07-23,18:00-19:00,149,475,624,36.7,206,18,2024-07-23 18:00:00,1,0,192.0,177.0,191.66666666666666,14.502873278538061
仁济站-环线,2024-07-23,19:00-20:00,89,277,366,34.8,194,19,2024-07-23 19:00:00,1,0,206.0,192.0,197.33333333333334,7.571877794400365
仁济站-环线,2024-07-23,20:00-21:00,51,143,194,30.8,184,20,2024-07-23 20:00:00,1,0,194.0,206.0,194.66666666666666,11.015141094572204
仁济站-环线,2024-07-23,21:00-22:00,33,139,172,31.3,148,21,2024-07-23 21:00:00,1,0,184.0,194.0,175.33333333333334,24.193663082165408
仁济站-环线,2024-07-23,22:00-23:00,40,114,154,30.0,130,22,2024-07-23 22:00:00,1,0,148.0,184.0,154.0,27.49545416973504
仁济站-环线,2024-07-23,23:00-24:00,1,15,16,30.4,119,23,2024-07-23 23:00:00,1,0,130.0,148.0,132.33333333333334,14.6401275039985
仁济站-环线,2024-07-24,6:00-7:00,172,40,212,31.1,106,6,2024-07-24 06:00:00,2,0,119.0,130.0,118.33333333333333,12.013880860626733
仁济站-环线,2024-07-24,7:00-8:00,115,156,271,31.8,156,7,2024-07-24 07:00:00,2,0,106.0,119.0,127.0,25.942243542145693
仁济站-环线,2024-07-24,8:00-9:00,366,178,544,32.0,174,8,2024-07-24 08:00:00,2,0,156.0,106.0,145.33333333333334,35.23256069793016
仁济站-环线,2024-07-24,9:00-10:00,239,199,438,32.2,175,9,2024-07-24 09:00:00,2,0,174.0,156.0,168.33333333333334,10.692676621563626
仁济站-环线,2024-07-24,10:00-11:00,153,178,331,33.7,175,10,2024-07-24 10:00:00,2,0,175.0,174.0,174.66666666666666,0.5773502691896258
仁济站-环线,2024-07-24,11:00-12:00,114,86,200,36.3,178,11,2024-07-24 11:00:00,2,0,175.0,175.0,176.0,1.7320508075688772
仁济站-环线,2024-07-24,12:00-13:00,134,120,254,38.5,177,12,2024-07-24 12:00:00,2,0,178.0,175.0,176.66666666666666,1.5275252316519468
仁济站-环线,2024-07-24,13:00-14:00,137,182,319,35.6,176,13,2024-07-24 13:00:00,2,0,177.0,178.0,177.0,1.0
仁济站-环线,2024-07-24,14:00-15:00,121,155,276,37.3,175,14,2024-07-24 14:00:00,2,0,176.0,177.0,176.0,1.0
仁济站-环线,2024-07-24,15:00-16:00,139,154,293,36.2,174,15,2024-07-24 15:00:00,2,0,175.0,176.0,175.0,1.0
仁济站-环线,2024-07-24,16:00-17:00,156,215,371,36.6,176,16,2024-07-24 16:00:00,2,0,174.0,175.0,175.0,1.0
仁济站-环线,2024-07-24,17:00-18:00,236,369,605,36.4,197,17,2024-07-24 17:00:00,2,0,176.0,174.0,182.33333333333334,12.741009902410928
仁济站-环线,2024-07-24,18:00-19:00,124,355,479,33.6,212,18,2024-07-24 18:00:00,2,0,197.0,176.0,195.0,18.083141320025124
仁济站-环线,2024-07-24,19:00-20:00,96,219,315,34.8,198,19,2024-07-24 19:00:00,2,0,212.0,197.0,202.33333333333334,8.386497083606082
仁济站-环线,2024-07-24,20:00-21:00,48,172,220,35.0,182,20,2024-07-24 20:00:00,2,0,198.0,212.0,197.33333333333334,15.01110699893027
仁济站-环线,2024-07-24,21:00-22:00,38,146,184,31.9,160,21,2024-07-24 21:00:00,2,0,182.0,198.0,180.0,19.078784028338912
仁济站-环线,2024-07-24,22:00-23:00,30,134,164,30.1,138,22,2024-07-24 22:00:00,2,0,160.0,182.0,160.0,22.0
仁济站-环线,2024-07-24,23:00-24:00,1,12,13,28.6,124,23,2024-07-24 23:00:00,2,0,138.0,160.0,140.66666666666666,18.147543451754935
仁济站-环线,2024-07-25,6:00-7:00,148,39,187,29.4,131,6,2024-07-25 06:00:00,3,0,124.0,138.0,131.0,7.0
仁济站-环线,2024-07-25,7:00-8:00,353,137,490,32.1,178,7,2024-07-25 07:00:00,3,0,131.0,124.0,144.33333333333334,29.36551265231604
仁济站-环线,2024-07-25,8:00-9:00,416,243,659,30.5,197,8,2024-07-25 08:00:00,3,0,178.0,131.0,168.66666666666666,33.975481355432386
仁济站-环线,2024-07-25,9:00-10:00,232,169,401,32.5,189,9,2024-07-25 09:00:00,3,0,197.0,178.0,188.0,9.539392014169456
仁济站-环线,2024-07-25,10:00-11:00,184,203,387,34.5,183,10,2024-07-25 10:00:00,3,0,189.0,197.0,189.66666666666666,7.023769168568492
仁济站-环线,2024-07-25,11:00-12:00,125,127,252,34.3,169,11,2024-07-25 11:00:00,3,0,183.0,189.0,180.33333333333334,10.263202878893768
仁济站-环线,2024-07-25,12:00-13:00,149,134,283,32.8,171,12,2024-07-25 12:00:00,3,0,169.0,183.0,174.33333333333334,7.571877794400365
仁济站-环线,2024-07-25,13:00-14:00,48,122,170,37.6,172,13,2024-07-25 13:00:00,3,0,171.0,169.0,170.66666666666666,1.5275252316519465
仁济站-环线,2024-07-25,14:00-15:00,162,175,337,35.6,173,14,2024-07-25 14:00:00,3,0,172.0,171.0,172.0,1.0
仁济站-环线,2024-07-25,15:00-16:00,110,164,274,37.0,173,15,2024-07-25 15:00:00,3,0,173.0,172.0,172.66666666666666,0.5773502691896258
仁济站-环线,2024-07-25,16:00-17:00,156,166,322,38.3,174,16,2024-07-25 16:00:00,3,0,173.0,173.0,173.33333333333334,0.5773502691896258
仁济站-环线,2024-07-25,17:00-18:00,188,372,560,36.2,210,17,2024-07-25 17:00:00,3,0,174.0,173.0,185.66666666666666,21.07921567168317
仁济站-环线,2024-07-25,18:00-19:00,101,347,448,35.6,227,18,2024-07-25 18:00:00,3,0,210.0,174.0,203.66666666666666,27.061657993059725
仁济站-环线,2024-07-25,19:00-20:00,107,277,384,32.2,208,19,2024-07-25 19:00:00,3,0,227.0,210.0,215.0,10.44030650891055
仁济站-环线,2024-07-25,20:00-21:00,62,172,234,33.7,201,20,2024-07-25 20:00:00,3,0,208.0,227.0,212.0,13.45362404707371
仁济站-环线,2024-07-25,21:00-22:00,36,183,219,32.5,152,21,2024-07-25 21:00:00,3,0,201.0,208.0,187.0,30.512292604784715
仁济站-环线,2024-07-25,22:00-23:00,40,151,191,28.9,134,22,2024-07-25 22:00:00,3,0,152.0,201.0,162.33333333333334,34.6746785613556
仁济站-环线,2024-07-25,23:00-24:00,2,12,14,28.9,121,23,2024-07-25 23:00:00,3,0,134.0,152.0,135.66666666666666,15.567059238447492
仁济站-环线,2024-07-26,6:00-7:00,154,43,197,29.7,126,6,2024-07-26 06:00:00,4,0,121.0,134.0,127.0,6.557438524302
仁济站-环线,2024-07-26,7:00-8:00,389,164,553,30.2,149,7,2024-07-26 07:00:00,4,0,126.0,121.0,132.0,14.933184523068078
仁济站-环线,2024-07-26,8:00-9:00,361,213,574,31.9,171,8,2024-07-26 08:00:00,4,0,149.0,126.0,148.66666666666666,22.50185177565023
仁济站-环线,2024-07-26,9:00-10:00,219,159,378,31.6,173,9,2024-07-26 09:00:00,4,0,171.0,149.0,164.33333333333334,13.316656236958785
仁济站-环线,2024-07-26,10:00-11:00,153,211,364,32.8,174,10,2024-07-26 10:00:00,4,0,173.0,171.0,172.66666666666666,1.5275252316519465
仁济站-环线,2024-07-26,11:00-12:00,103,140,243,33.7,163,11,2024-07-26 11:00:00,4,0,174.0,173.0,170.0,6.082762530298219
仁济站-环线,2024-07-26,12:00-13:00,125,111,236,37.0,167,12,2024-07-26 12:00:00,4,0,163.0,174.0,168.0,5.5677643628300215
仁济站-环线,2024-07-26,13:00-14:00,144,168,312,36.6,168,13,2024-07-26 13:00:00,4,0,167.0,163.0,166.0,2.6457513110645907
仁济站-环线,2024-07-26,14:00-15:00,167,148,315,36.5,171,14,2024-07-26 14:00:00,4,0,168.0,167.0,168.66666666666666,2.081665999466133
仁济站-环线,2024-07-26,15:00-16:00,110,142,252,36.1,173,15,2024-07-26 15:00:00,4,0,171.0,168.0,170.66666666666666,2.5166114784235836
仁济站-环线,2024-07-26,16:00-17:00,179,249,428,38.2,174,16,2024-07-26 16:00:00,4,0,173.0,171.0,172.66666666666666,1.5275252316519465
仁济站-环线,2024-07-26,17:00-18:00,198,356,554,37.7,190,17,2024-07-26 17:00:00,4,0,174.0,173.0,179.0,9.539392014169456
仁济站-环线,2024-07-26,18:00-19:00,114,229,343,33.9,196,18,2024-07-26 18:00:00,4,0,190.0,174.0,186.66666666666666,11.372481406154654
仁济站-环线,2024-07-26,19:00-20:00,86,233,319,35.2,189,19,2024-07-26 19:00:00,4,0,196.0,190.0,191.66666666666666,3.7859388972001824
仁济站-环线,2024-07-26,20:00-21:00,49,165,214,36.0,166,20,2024-07-26 20:00:00,4,0,189.0,196.0,183.66666666666666,15.695009822658072
仁济站-环线,2024-07-26,21:00-22:00,41,148,189,32.5,139,21,2024-07-26 21:00:00,4,0,166.0,189.0,164.66666666666666,25.026652459594615
仁济站-环线,2024-07-26,22:00-23:00,27,117,144,29.8,125,22,2024-07-26 22:00:00,4,0,139.0,166.0,143.33333333333334,20.840665376454115
仁济站-环线,2024-07-26,23:00-24:00,1,13,14,29.3,116,23,2024-07-26 23:00:00,4,0,125.0,139.0,126.66666666666667,11.590225767142474
仁济站-环线,2024-07-27,6:00-7:00,201,48,249,29.4,117,6,2024-07-27 06:00:00,5,1,116.0,125.0,119.33333333333333,4.932882862316247
仁济站-环线,2024-07-27,7:00-8:00,228,261,489,32.5,155,7,2024-07-27 07:00:00,5,1,117.0,116.0,129.33333333333334,22.233608194203057
仁济站-环线,2024-07-27,8:00-9:00,411,233,644,31.8,199,8,2024-07-27 08:00:00,5,1,155.0,117.0,157.0,41.036569057366385
仁济站-环线,2024-07-27,9:00-10:00,245,175,420,33.7,197,9,2024-07-27 09:00:00,5,1,199.0,155.0,183.66666666666666,24.8461935381123
仁济站-环线,2024-07-27,10:00-11:00,177,214,391,33.0,194,10,2024-07-27 10:00:00,5,1,197.0,199.0,196.66666666666666,2.5166114784235836
仁济站-环线,2024-07-27,11:00-12:00,122,174,296,33.0,179,11,2024-07-27 11:00:00,5,1,194.0,197.0,190.0,9.643650760992955
仁济站-环线,2024-07-27,12:00-13:00,170,143,313,37.3,182,12,2024-07-27 12:00:00,5,1,179.0,194.0,185.0,7.937253933193772
仁济站-环线,2024-07-27,13:00-14:00,192,173,365,37.6,184,13,2024-07-27 13:00:00,5,1,182.0,179.0,181.66666666666666,2.5166114784235836
仁济站-环线,2024-07-27,14:00-15:00,151,157,308,36.3,186,14,2024-07-27 14:00:00,5,1,184.0,182.0,184.0,2.0
仁济站-环线,2024-07-27,15:00-16:00,124,138,262,34.0,188,15,2024-07-27 15:00:00,5,1,186.0,184.0,186.0,2.0
仁济站-环线,2024-07-27,16:00-17:00,141,236,377,35.7,190,16,2024-07-27 16:00:00,5,1,188.0,186.0,188.0,2.0
仁济站-环线,2024-07-27,17:00-18:00,212,348,560,38.9,226,17,2024-07-27 17:00:00,5,1,190.0,188.0,201.33333333333334,21.385353243127255
仁济站-环线,2024-07-27,18:00-19:00,80,514,594,38.1,240,18,2024-07-27 18:00:00,5,1,226.0,190.0,218.66666666666666,25.794056162870806
仁济站-环线,2024-07-27,19:00-20:00,90,266,356,33.2,220,19,2024-07-27 19:00:00,5,1,240.0,226.0,228.66666666666666,10.263202878893768
仁济站-环线,2024-07-27,20:00-21:00,53,182,235,29.6,203,20,2024-07-27 20:00:00,5,1,220.0,240.0,221.0,18.520259177452136
仁济站-环线,2024-07-27,21:00-22:00,14,167,181,31.1,169,21,2024-07-27 21:00:00,5,1,203.0,220.0,197.33333333333334,25.96792893808309
仁济站-环线,2024-07-27,22:00-23:00,14,114,128,32.0,147,22,2024-07-27 22:00:00,5,1,169.0,203.0,173.0,28.21347195933177
仁济站-环线,2024-07-27,23:00-24:00,3,16,19,28.8,133,23,2024-07-27 23:00:00,5,1,147.0,169.0,149.66666666666666,18.147543451754935
仁济站-环线,2024-07-28,6:00-7:00,223,61,284,29.8,118,6,2024-07-28 06:00:00,6,1,133.0,147.0,132.66666666666666,14.502873278538061
仁济站-环线,2024-07-28,7:00-8:00,436,232,668,30.1,152,7,2024-07-28 07:00:00,6,1,118.0,133.0,134.33333333333334,17.039170558842745
仁济站-环线,2024-07-28,8:00-9:00,550,309,859,29.6,208,8,2024-07-28 08:00:00,6,1,152.0,118.0,159.33333333333334,45.44593857907803
仁济站-环线,2024-07-28,9:00-10:00,228,176,404,31.7,202,9,2024-07-28 09:00:00,6,1,208.0,152.0,187.33333333333334,30.74627348693388
仁济站-环线,2024-07-28,10:00-11:00,156,184,340,34.6,197,10,2024-07-28 10:00:00,6,1,202.0,208.0,202.33333333333334,5.507570547286101
仁济站-环线,2024-07-28,11:00-12:00,109,177,286,36.3,193,11,2024-07-28 11:00:00,6,1,197.0,202.0,197.33333333333334,4.509249752822894
仁济站-环线,2024-07-28,12:00-13:00,140,125,265,32.4,191,12,2024-07-28 12:00:00,6,1,193.0,197.0,193.66666666666666,3.0550504633038935
仁济站-环线,2024-07-28,13:00-14:00,174,165,339,37.4,188,13,2024-07-28 13:00:00,6,1,191.0,193.0,190.66666666666666,2.5166114784235836
仁济站-环线,2024-07-28,14:00-15:00,153,162,315,37.9,188,14,2024-07-28 14:00:00,6,1,188.0,191.0,189.0,1.7320508075688772
仁济站-环线,2024-07-28,15:00-16:00,175,168,343,36.5,189,15,2024-07-28 15:00:00,6,1,188.0,188.0,188.33333333333334,0.5773502691896258
仁济站-环线,2024-07-28,16:00-17:00,188,255,443,35.1,191,16,2024-07-28 16:00:00,6,1,189.0,188.0,189.33333333333334,1.5275252316519465
仁济站-环线,2024-07-28,17:00-18:00,239,262,501,36.5,218,17,2024-07-28 17:00:00,6,1,191.0,189.0,199.33333333333334,16.19670748434179
仁济站-环线,2024-07-28,18:00-19:00,133,320,453,34.9,247,18,2024-07-28 18:00:00,6,1,218.0,191.0,218.66666666666666,28.00595174839329
仁济站-环线,2024-07-28,19:00-20:00,121,214,335,33.4,225,19,2024-07-28 19:00:00,6,1,247.0,218.0,230.0,15.132745950421556
仁济站-环线,2024-07-28,20:00-21:00,70,155,225,31.9,206,20,2024-07-28 20:00:00,6,1,225.0,247.0,226.0,20.518284528683193
仁济站-环线,2024-07-28,21:00-22:00,84,150,234,31.8,179,21,2024-07-28 21:00:00,6,1,206.0,225.0,203.33333333333334,23.115651263447745
仁济站-环线,2024-07-28,22:00-23:00,12,133,145,30.7,152,22,2024-07-28 22:00:00,6,1,179.0,206.0,179.0,27.0
仁济站-环线,2024-07-28,23:00-24:00,3,17,20,29.5,136,23,2024-07-28 23:00:00,6,1,152.0,179.0,155.66666666666666,21.733231083604053
仁济站-环线,2024-07-29,6:00-7:00,163,44,207,29.9,128,6,2024-07-29 06:00:00,0,0,136.0,152.0,138.66666666666666,12.220201853215572
仁济站-环线,2024-07-29,7:00-8:00,214,192,406,31.1,163,7,2024-07-29 07:00:00,0,0,128.0,136.0,142.33333333333334,18.339392937971894
仁济站-环线,2024-07-29,8:00-9:00,290,238,528,31.4,175,8,2024-07-29 08:00:00,0,0,163.0,128.0,155.33333333333334,24.419937209856485
仁济站-环线,2024-07-29,9:00-10:00,217,166,383,32.0,176,9,2024-07-29 09:00:00,0,0,175.0,163.0,171.33333333333334,7.234178138070234
仁济站-环线,2024-07-29,10:00-11:00,164,217,381,35.7,175,10,2024-07-29 10:00:00,0,0,176.0,175.0,175.33333333333334,0.5773502691896258
仁济站-环线,2024-07-29,11:00-12:00,112,123,235,34.7,171,11,2024-07-29 11:00:00,0,0,175.0,176.0,174.0,2.6457513110645907
仁济站-环线,2024-07-29,12:00-13:00,130,126,256,36.6,172,12,2024-07-29 12:00:00,0,0,171.0,175.0,172.66666666666666,2.081665999466133
仁济站-环线,2024-07-29,13:00-14:00,150,151,301,37.0,174,13,2024-07-29 13:00:00,0,0,172.0,171.0,172.33333333333334,1.5275252316519465
仁济站-环线,2024-07-29,14:00-15:00,153,141,294,36.5,175,14,2024-07-29 14:00:00,0,0,174.0,172.0,173.66666666666666,1.5275252316519465
仁济站-环线,2024-07-29,15:00-16:00,100,166,266,35.6,175,15,2024-07-29 15:00:00,0,0,175.0,174.0,174.66666666666666,0.5773502691896258
仁济站-环线,2024-07-29,16:00-17:00,149,228,377,36.9,176,16,2024-07-29 16:00:00,0,0,175.0,175.0,175.33333333333334,0.5773502691896258
仁济站-环线,2024-07-29,17:00-18:00,217,284,501,36.9,209,17,2024-07-29 17:00:00,0,0,176.0,175.0,186.66666666666666,19.347695814575268
仁济站-环线,2024-07-29,18:00-19:00,83,419,502,38.3,221,18,2024-07-29 18:00:00,0,0,209.0,176.0,202.0,23.302360395462088
仁济站-环线,2024-07-29,19:00-20:00,118,293,411,34.0,203,19,2024-07-29 19:00:00,0,0,221.0,209.0,211.0,9.16515138991168
仁济站-环线,2024-07-29,20:00-21:00,60,185,245,34.2,166,20,2024-07-29 20:00:00,0,0,203.0,221.0,196.66666666666666,28.04163571073081
仁济站-环线,2024-07-29,21:00-22:00,48,104,152,32.6,151,21,2024-07-29 21:00:00,0,0,166.0,203.0,173.33333333333334,26.764404221527766
仁济站-环线,2024-07-29,22:00-23:00,39,136,175,31.3,132,22,2024-07-29 22:00:00,0,0,151.0,166.0,149.66666666666666,17.039170558842745
仁济站-环线,2024-07-29,23:00-24:00,2,13,15,29.8,120,23,2024-07-29 23:00:00,0,0,132.0,151.0,134.33333333333334,15.631165450257807
仁济站-环线,2024-07-30,6:00-7:00,215,53,268,29.5,113,6,2024-07-30 06:00:00,1,0,120.0,132.0,121.66666666666667,9.60902353693305
仁济站-环线,2024-07-30,7:00-8:00,378,151,529,32.5,168,7,2024-07-30 07:00:00,1,0,113.0,120.0,133.66666666666666,29.93882651897588
仁济站-环线,2024-07-30,8:00-9:00,320,179,499,33.2,177,8,2024-07-30 08:00:00,1,0,168.0,113.0,152.66666666666666,34.645827069552446
仁济站-环线,2024-07-30,9:00-10:00,207,198,405,33.3,177,9,2024-07-30 09:00:00,1,0,177.0,168.0,174.0,5.196152422706632
仁济站-环线,2024-07-30,10:00-11:00,151,174,325,33.3,176,10,2024-07-30 10:00:00,1,0,177.0,177.0,176.66666666666666,0.5773502691896258
仁济站-环线,2024-07-30,11:00-12:00,106,142,248,35.6,168,11,2024-07-30 11:00:00,1,0,176.0,177.0,173.66666666666666,4.932882862316247
仁济站-环线,2024-07-30,12:00-13:00,147,131,278,35.8,171,12,2024-07-30 12:00:00,1,0,168.0,176.0,171.66666666666666,4.041451884327381
仁济站-环线,2024-07-30,13:00-14:00,89,158,247,37.5,173,13,2024-07-30 13:00:00,1,0,171.0,168.0,170.66666666666666,2.5166114784235836
仁济站-环线,2024-07-30,14:00-15:00,125,149,274,35.8,174,14,2024-07-30 14:00:00,1,0,173.0,171.0,172.66666666666666,1.5275252316519465
仁济站-环线,2024-07-30,15:00-16:00,129,114,243,35.8,174,15,2024-07-30 15:00:00,1,0,174.0,173.0,173.66666666666666,0.5773502691896258
仁济站-环线,2024-07-30,16:00-17:00,151,214,365,37.1,177,16,2024-07-30 16:00:00,1,0,174.0,174.0,175.0,1.7320508075688772
仁济站-环线,2024-07-30,17:00-18:00,217,326,543,37.3,206,17,2024-07-30 17:00:00,1,0,177.0,174.0,185.66666666666666,17.672954855748753
仁济站-环线,2024-07-30,18:00-19:00,138,324,462,35.0,214,18,2024-07-30 18:00:00,1,0,206.0,177.0,199.0,19.467922333931785
仁济站-环线,2024-07-30,19:00-20:00,113,250,363,32.1,199,19,2024-07-30 19:00:00,1,0,214.0,206.0,206.33333333333334,7.505553499465135
仁济站-环线,2024-07-30,20:00-21:00,56,171,227,32.3,183,20,2024-07-30 20:00:00,1,0,199.0,214.0,198.66666666666666,15.50268793897798
仁济站-环线,2024-07-30,21:00-22:00,53,132,185,30.0,159,21,2024-07-30 21:00:00,1,0,183.0,199.0,180.33333333333334,20.13289182738867
仁济站-环线,2024-07-30,22:00-23:00,14,123,137,27.8,138,22,2024-07-30 22:00:00,1,0,159.0,183.0,160.0,22.516660498395403
仁济站-环线,2024-07-30,23:00-24:00,1,13,14,28.4,124,23,2024-07-30 23:00:00,1,0,138.0,159.0,140.33333333333334,17.616280348965084
仁济站-环线,2024-07-31,6:00-7:00,171,46,217,29.5,114,6,2024-07-31 06:00:00,2,0,124.0,138.0,125.33333333333333,12.055427546683417
仁济站-环线,2024-07-31,7:00-8:00,303,181,484,32.2,146,7,2024-07-31 07:00:00,2,0,114.0,124.0,128.0,16.3707055437449
仁济站-环线,2024-07-31,8:00-9:00,411,217,628,31.5,166,8,2024-07-31 08:00:00,2,0,146.0,114.0,142.0,26.229754097208
仁济站-环线,2024-07-31,9:00-10:00,245,166,411,35.1,171,9,2024-07-31 09:00:00,2,0,166.0,146.0,161.0,13.228756555322953
仁济站-环线,2024-07-31,10:00-11:00,185,185,370,32.3,173,10,2024-07-31 10:00:00,2,0,171.0,166.0,170.0,3.605551275463989
仁济站-环线,2024-07-31,11:00-12:00,108,146,254,36.1,166,11,2024-07-31 11:00:00,2,0,173.0,171.0,170.0,3.605551275463989
仁济站-环线,2024-07-31,12:00-13:00,164,145,309,36.2,168,12,2024-07-31 12:00:00,2,0,166.0,173.0,169.0,3.605551275463989
仁济站-环线,2024-07-31,13:00-14:00,126,124,250,38.4,170,13,2024-07-31 13:00:00,2,0,168.0,166.0,168.0,2.0
仁济站-环线,2024-07-31,14:00-15:00,117,157,274,37.3,172,14,2024-07-31 14:00:00,2,0,170.0,168.0,170.0,2.0
仁济站-环线,2024-07-31,15:00-16:00,181,169,350,37.8,174,15,2024-07-31 15:00:00,2,0,172.0,170.0,172.0,2.0
仁济站-环线,2024-07-31,16:00-17:00,163,199,362,36.1,177,16,2024-07-31 16:00:00,2,0,174.0,172.0,174.33333333333334,2.5166114784235836
仁济站-环线,2024-07-31,17:00-18:00,234,307,541,36.7,202,17,2024-07-31 17:00:00,2,0,177.0,174.0,184.33333333333334,15.37313674346694
仁济站-环线,2024-07-31,18:00-19:00,151,306,457,37.7,218,18,2024-07-31 18:00:00,2,0,202.0,177.0,199.0,20.663978319771825
仁济站-环线,2024-07-31,19:00-20:00,53,214,267,36.2,202,19,2024-07-31 19:00:00,2,0,218.0,202.0,207.33333333333334,9.237604307034012
仁济站-环线,2024-07-31,20:00-21:00,72,173,245,34.3,188,20,2024-07-31 20:00:00,2,0,202.0,218.0,202.66666666666666,15.01110699893027
仁济站-环线,2024-07-31,21:00-22:00,25,122,147,32.7,159,21,2024-07-31 21:00:00,2,0,188.0,202.0,183.0,21.93171219946131
仁济站-环线,2024-07-31,22:00-23:00,34,125,159,31.2,138,22,2024-07-31 22:00:00,2,0,159.0,188.0,161.66666666666666,25.106440076867393
仁济站-环线,2024-07-31,23:00-24:00,2,16,18,29.1,124,23,2024-07-31 23:00:00,2,0,138.0,159.0,140.33333333333334,17.616280348965084
仁济站-环线,2024-08-01,6:00-7:00,152,41,193,26.9,128,6,2024-08-01 06:00:00,3,0,124.0,138.0,130.0,7.211102550927978
仁济站-环线,2024-08-01,7:00-8:00,230,191,421,28.7,112,7,2024-08-01 07:00:00,3,0,128.0,124.0,121.33333333333333,8.326663997864532
